corner_terms_flags [[ True  True False False]
 [ True False  True False]
 [False  True False  True]
 [False False  True  True]]
corner_terms_flags [[ True  True False False]
 [ True False  True False]
 [False  True False  True]
 [False False  True  True]]
single_qubit_flags [[ True False False False]
 [False  True False False]
 [False False  True False]
 [False False False  True]]
corner_terms_flags [[ True  True False False]
 [ True False  True False]
 [False  True False  True]
 [False False  True  True]]
QOC is saving this optimization run to ./out/00001_hamil_500_2_2_2.h5.
iter   |   total error  |    grads_l2   
=========================================
  0    | 9.52190944e-01 | 7.97294710e-02
  1    | 9.49031433e-01 | 6.10293361e-02
  2    | 9.46811843e-01 | 3.94254846e-02
  3    | 9.45625004e-01 | 1.67623194e-02
  4    | 9.45391898e-01 | 4.65559571e-03
  5    | 9.45801950e-01 | 2.18041646e-02
  6    | 9.46401794e-01 | 3.34473885e-02
  7    | 9.46825649e-01 | 3.94813568e-02
  8    | 9.46928444e-01 | 4.07933129e-02
  9    | 9.46740650e-01 | 3.83771626e-02
  10   | 9.46375162e-01 | 3.30608914e-02
  11   | 9.45963206e-01 | 2.55726396e-02
  12   | 9.45618232e-01 | 1.66586275e-02
  13   | 9.45414042e-01 | 7.14220236e-03
  14   | 9.45372497e-01 | 2.18223220e-03
  15   | 9.45463684e-01 | 1.03428177e-02
  16   | 9.45621636e-01 | 1.68150954e-02
  17   | 9.45771603e-01 | 2.11736832e-02
  18   | 9.45856923e-01 | 2.32820393e-02
  19   | 9.45854036e-01 | 2.32194029e-02
  20   | 9.45772640e-01 | 2.12179385e-02
  21   | 9.45645483e-01 | 1.76175845e-02
  22   | 9.45514056e-01 | 1.28418076e-02
  23   | 9.45414783e-01 | 7.38257468e-03
  24   | 9.45368759e-01 | 1.83661527e-03
  25   | 9.45377172e-01 | 3.64136323e-03
  26   | 9.45423480e-01 | 8.09692559e-03
  27   | 9.45481364e-01 | 1.14303153e-02
  28   | 9.45525198e-01 | 1.34157530e-02
  29   | 9.45538773e-01 | 1.39898753e-02
  30   | 9.45519305e-01 | 1.32230167e-02
  31   | 9.45476109e-01 | 1.12970605e-02
  32   | 9.45425421e-01 | 8.48392599e-03
  33   | 9.45383723e-01 | 5.12785773e-03
  34   | 9.45361944e-01 | 1.70742524e-03
  35   | 9.45362339e-01 | 2.11448485e-03
  36   | 9.45378865e-01 | 4.92096628e-03
  37   | 9.45400577e-01 | 7.06247752e-03
  38   | 9.45416445e-01 | 8.31412788e-03
  39   | 9.45419527e-01 | 8.61566283e-03
  40   | 9.45408962e-01 | 8.01616772e-03
  41   | 9.45389326e-01 | 6.65865961e-03
  42   | 9.45368000e-01 | 4.76902684e-03
  43   | 9.45351859e-01 | 2.68623792e-03
  44   | 9.45344621e-01 | 1.40662023e-03
  45   | 9.45345818e-01 | 2.56121124e-03
  46   | 9.45351591e-01 | 4.08393147e-03
  47   | 9.45356755e-01 | 5.15524828e-03
  48   | 9.45357117e-01 | 5.62329981e-03
  49   | 9.45351034e-01 | 5.48140404e-03
  50   | 9.45339667e-01 | 4.81948713e-03
  51   | 9.45326014e-01 | 3.82289837e-03
  52   | 9.45313307e-01 | 2.81759238e-03
  53   | 9.45303541e-01 | 2.35985649e-03
  54   | 9.45296748e-01 | 2.77323538e-03
  55   | 9.45291229e-01 | 3.54473514e-03
  56   | 9.45284507e-01 | 4.19544406e-03
  57   | 9.45274482e-01 | 4.54476647e-03
  58   | 9.45260218e-01 | 4.57405423e-03
  59   | 9.45242079e-01 | 4.37015857e-03
  60   | 9.45221234e-01 | 4.10234843e-03
